,Kingdom,Phylum,Class,Order,Family,Genus,Species,,KOK17031_Con_20um_A,KOK17031_Con_20um_B,KOK17031_Con_20um_C,KOK17031_Part_20um_A,KOK17031_Part_20um_B,KOK17031_Part_20um_C,KOK17031_Con_2um_A,KOK17031_Con_2um_B,KOK17031_Con_2um_C,KOK17031_Part_2um_A,KOK17031_Part_2um_B,KOK17031_Part_2um_C,KOK17031_Con_0point2um_A,KOK17031_Con_0point2um_B,KOK17031_Con_0point2um_C,KOK17031_Part_0point2um_A,KOK17031_Part_0point2um_B,KOK17031_Part_0point2um_C,KOK17032_Con_20um_A,KOK17032_Con_20um_B,KOK17032_Con_20um_C,KOK17032_Part_20um_A,KOK17032_Part_20um_B,KOK17032_Part_20um_C,KOK17032_Con_2um_A,KOK17032_Con_2um_B,KOK17032_Con_2um_C,KOK17032_Part_2um_A,KOK17032_Part_2um_B,KOK17032_Part_2um_C,KOK17032_Con_0point2um_A,KOK17032_Con_0point2um_B,KOK17032_Con_0point2um_C,KOK17032_Part_0point2um_A,KOK17032_Part_0point2um_B,KOK17032_Part_0point2um_C,HOT291_Con_20um_A,HOT291_Con_20um_B,HOT291_Con_20um_C,HOT291_Part_20um_A,HOT291_Part_20um_B,HOT291_Part_20um_C,HOT291_Con_2um_A,HOT291_Con_2um_B,HOT291_Con_2um_C,HOT291_Part_2um_A,HOT291_Part_2um_B,HOT291_Part_2um_C,HOT291_Con_0point2um_A,HOT291_Con_0point2um_B,HOT291_Con_0point2um_C,HOT291_Part_0point2um_A,HOT291_Part_0point2um_B,HOT291_Part_0point2um_C,HOT292_Con_20um_A,HOT292_Con_20um_B,HOT292_Con_20um_C,HOT292_Part_20um_A,HOT292_Part_20um_B,HOT292_Part_20um_C,HOT292_Con_2um_A,HOT292_Con_2um_B,HOT292_Con_2um_C,HOT292_Part_2um_A,HOT292_Part_2um_B,HOT292_Part_2um_C,HOT292_Con_0point2um_A,HOT292_Con_0point2um_B,HOT292_Con_0point2um_C,HOT292_Part_0point2um_A,HOT292_Part_0point2um_B,HOT292_Part_0point2um_C
ASV_1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_1,58,167,1458,251,902,525,35,17,42,595,423,466,15,18,19,1123,610,604,1121,2614,460,2513,3276,3241,85,234,116,2898,3069,4145,272,138,32,6313,7318,8354,153,67,117,5305,3513,4107,148,50,19,10016,11415,12143,18,22,13,29638,19882,18000,112,122,90,5529,10048,4595,31,34,33,5994,5158,5944,43,7,20,8685,8059,6749
ASV_2,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_2,17,168,1,84,300,141,29,12,39,348,231,245,10,4,7,688,178,179,225,394,179,1540,991,816,34,81,36,568,652,824,113,71,26,1442,1134,1819,92,26,82,2528,1373,2050,107,22,11,4271,4283,5977,13,6,9,3714,3239,2821,58,157,167,1500,1831,1542,18,18,19,1870,2001,1774,14,12,9,1744,3265,2049
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV_3,9,256,255,51,141,110,6,6,13,59,124,92,4,2,5,213,114,107,362,2647,145,595,685,914,47,87,35,531,664,826,51,67,3,1363,1300,2130,43,3,4,463,275,469,23,5,0,784,901,1085,6,1,3,1923,1749,1509,8,16,1,2996,2671,3335,14,4,5,2331,2133,2667,4,2,6,5098,4153,4074
ASV_4,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA,ASV_4,12,316,2,33,8,81,471,280,157,95,72,301,4737,3016,3207,3228,1429,997,110,90,206,12,85,13,231,364,81,24,32,57,4175,3760,5501,914,343,1962,33,47,61,14,2,6,234,317,86,3,6,7,3111,2204,1609,89,100,68,14,17,95,2,4,4,184,474,143,16,26,20,2212,1445,1859,373,467,520
ASV_5,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,NA,ASV_5,31,78,200,147,668,247,11,17,17,169,202,225,14,6,9,375,274,220,117,189,137,589,349,465,22,89,1719,806,272,451,31,41,13,588,651,545,31,2,62,883,740,945,88,55,10,1684,2105,2370,12,5,6,1877,2002,1591,79,53,153,4197,2873,3283,17,33,11,2409,2444,2917,17,15,14,3349,3421,2503
ASV_6,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA,ASV_6,15,5,237,120,645,201,25,13,31,139,191,230,7,11,10,379,251,175,86,298,159,627,357,466,23,102,266,733,297,525,45,30,9,515,639,592,84,62,8,749,616,756,37,69,12,1396,1600,1934,13,8,6,1534,1573,1281,32,3,53,3562,2405,2679,46,31,16,1950,2110,2503,21,10,7,2901,2925,2278
ASV_7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,phenolica,ASV_7,2,0,416,60,195,507,6,8,20,79,298,165,4,7,4,433,195,141,272,675,127,416,787,771,36,243,46,529,954,1015,94,120,25,1465,1522,3499,61,2,27,583,348,662,21,7,4,1124,1703,1605,10,2,3,2482,2297,2193,25,6,1,1152,1095,1181,5,3,4,1185,1159,1147,9,4,4,2234,2136,2055
ASV_8,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,ASV_8,1,2,100,12,543,51,0,2,5,20,26,23,6,3,2,49,32,11,175,1478,63,839,874,1619,22,170,3,720,793,1400,76,15,4,822,990,3257,39,0,28,459,243,388,17,8,2,534,690,827,3,0,3,669,624,507,1,2,1,1770,2352,2230,8,9,0,1530,1320,1447,9,4,4,1204,1039,1118
ASV_9,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_9,14,123,153,6,6,16,214,87,67,60,34,139,1253,800,827,1105,489,303,33,19,67,3,24,3,91,206,70,16,8,14,807,912,1278,250,84,424,27,28,28,4,0,4,172,294,106,5,6,6,3053,1730,1963,104,106,76,14,99,278,2,3,2,397,816,427,39,35,40,3877,2343,4086,511,464,409
ASV_10,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_10,1,75,1,6,2,1,18,0,5,2,3,1,8,1,1,69,5,4,4,1,7,7,16,13,7,6,0,10,10,21,5,5,3,15,13,44,9,24,3,25,17,32,3,9,0,91,74,86,3,2,3,93,62,77,3,6,2,3440,3644,3061,3,11,9,2294,2373,2598,11,2,2,2372,2217,1928
