,Kingdom,Phylum,Class,Order,Family,Genus,Species,KOK17031_Con_20um_A,KOK17031_Con_20um_B,KOK17031_Con_20um_C,KOK17031_Part_20um_A,KOK17031_Part_20um_B,KOK17031_Part_20um_C,KOK17031_Con_2um_A,KOK17031_Con_2um_B,KOK17031_Con_2um_C,KOK17031_Part_2um_A,KOK17031_Part_2um_B,KOK17031_Part_2um_C,KOK17031_Con_0point2um_A,KOK17031_Con_0point2um_B,KOK17031_Con_0point2um_C,KOK17031_Part_0point2um_A,KOK17031_Part_0point2um_B,KOK17031_Part_0point2um_C,KOK17032_Con_20um_A,KOK17032_Con_20um_B,KOK17032_Con_20um_C,KOK17032_Part_20um_A,KOK17032_Part_20um_B,KOK17032_Part_20um_C,KOK17032_Con_2um_A,KOK17032_Con_2um_B,KOK17032_Con_2um_C,KOK17032_Part_2um_A,KOK17032_Part_2um_B,KOK17032_Part_2um_C,KOK17032_Con_0point2um_A,KOK17032_Con_0point2um_B,KOK17032_Con_0point2um_C,KOK17032_Part_0point2um_A,KOK17032_Part_0point2um_B,KOK17032_Part_0point2um_C,HOT291_Con_20um_A,HOT291_Con_20um_B,HOT291_Con_20um_C,HOT291_Part_20um_A,HOT291_Part_20um_B,HOT291_Part_20um_C,HOT291_Con_2um_A,HOT291_Con_2um_B,HOT291_Con_2um_C,HOT291_Part_2um_A,HOT291_Part_2um_B,HOT291_Part_2um_C,HOT291_Con_0point2um_A,HOT291_Con_0point2um_B,HOT291_Con_0point2um_C,HOT291_Part_0point2um_A,HOT291_Part_0point2um_B,HOT291_Part_0point2um_C,HOT292_Con_20um_A,HOT292_Con_20um_B,HOT292_Con_20um_C,HOT292_Part_20um_A,HOT292_Part_20um_B,HOT292_Part_20um_C,HOT292_Con_2um_A,HOT292_Con_2um_B,HOT292_Con_2um_C,HOT292_Part_2um_A,HOT292_Part_2um_B,HOT292_Part_2um_C,HOT292_Con_0point2um_A,HOT292_Con_0point2um_B,HOT292_Con_0point2um_C,HOT292_Part_0point2um_A,HOT292_Part_0point2um_B,HOT292_Part_0point2um_C
ASV_1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,0.003687151,0.00424581,0.042569832,0.028044693,0.08547486,0.042458101,0.001005587,0.000782123,0.001005587,0.044581006,0.029944134,0.020782123,0.000111732,0.000223464,0.000111732,0.015307263,0.017430168,0.019441341,0.102234637,0.115195531,0.02122905,0.097206704,0.141117318,0.138659218,0.002569832,0.004804469,0.007709497,0.140558659,0.151061453,0.143575419,0.003351955,0.001899441,0.000335196,0.142122905,0.192849162,0.105139665,0.004022346,0.002346369,0.003463687,0.275195531,0.283240223,0.220893855,0.004469274,0.001452514,0.000782123,0.28726257,0.278547486,0.274748603,0.000223464,0.000335196,0.000223464,0.471843575,0.390837989,0.403910615,0.006368715,0.002681564,0.002122905,0.136312849,0.223351955,0.100670391,0.000893855,0.000893855,0.00122905,0.165810056,0.138212291,0.151061453,0.000223464,0,0.000558659,0.155195531,0.132960894,0.109944134
ASV_2,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,0.001005587,0.00301676,0,0.009385475,0.030055866,0.011620112,0.000558659,0.000335196,0.001452514,0.026815642,0.016201117,0.011731844,0,0.000111732,0.000335196,0.008826816,0.005139665,0.006592179,0.022011173,0.018100559,0.006480447,0.062569832,0.046480447,0.033296089,0.001340782,0.001787709,0.002569832,0.027821229,0.033072626,0.029944134,0.001117318,0.000446927,0.000111732,0.033631285,0.029162011,0.021340782,0.002011173,0.001452514,0.001340782,0.128268156,0.112960894,0.110055866,0.003240223,0.000670391,0.000670391,0.123351955,0.108938547,0.132290503,0,0.000335196,0.000111732,0.054972067,0.068268156,0.061117318,0.003240223,0.004581006,0.004022346,0.035642458,0.041005587,0.03698324,0.000558659,0.000223464,0.000558659,0.052067039,0.053854749,0.041675978,0.000111732,0.000111732,0,0.027486034,0.057877095,0.034301676
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,0.000446927,0.005139665,0.00726257,0.005586592,0.013854749,0.008379888,0,0.000223464,0.000111732,0.003798883,0.009385475,0.004581006,0,0,0.000111732,0.002905028,0.003240223,0.003240223,0.035083799,0.116759777,0.005363128,0.024692737,0.030614525,0.041340782,0.001340782,0.001787709,0.002234637,0.028715084,0.032625698,0.030502793,0.001005587,0.001005587,0,0.02972067,0.034972067,0.027932961,0.001452514,0,0,0.023575419,0.021564246,0.02424581,0.000782123,0.000111732,0,0.021899441,0.024357542,0.024469274,0.000223464,0,0,0.029273743,0.033296089,0.034078212,0.000446927,0.000558659,0.000111732,0.070502793,0.063128492,0.074748603,0.000335196,0.000111732,0.000111732,0.062905028,0.056312849,0.06547486,0,0.000223464,0,0.092625698,0.070949721,0.064804469
ASV_4,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA,0.000782123,0.005698324,0.000223464,0.003575419,0.000782123,0.006703911,0.010391061,0.007821229,0.003687151,0.007709497,0.005810056,0.012849162,0.057094972,0.050726257,0.054413408,0.038324022,0.037430168,0.035083799,0.010837989,0.003798883,0.008379888,0.000335196,0.003687151,0.000558659,0.00726257,0.00849162,0.004022346,0.001675978,0.002011173,0.001452514,0.045139665,0.04603352,0.054860335,0.018435754,0.009944134,0.024357542,0.000670391,0.002011173,0.001899441,0.000782123,0.000111732,0.000446927,0.006480447,0.007821229,0.005251397,0.000335196,0.000223464,0.000111732,0.029162011,0.041117318,0.023798883,0.001452514,0.002122905,0.001787709,0.00122905,0.000223464,0.002346369,0.000111732,0.000223464,0.000111732,0.003910615,0.010502793,0.005586592,0.000111732,0.000893855,0.000558659,0.024357542,0.020782123,0.023240223,0.006703911,0.007374302,0.008044693
ASV_5,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,NA,0.002122905,0.001117318,0.005139665,0.016424581,0.065251397,0.021005587,0.000111732,0.000223464,0.000335196,0.012849162,0.014189944,0.00972067,0.000223464,0,0.000223464,0.004357542,0.00972067,0.00849162,0.010726257,0.007709497,0.004581006,0.024916201,0.015530726,0.018882682,0.000558659,0.002458101,0.097988827,0.039664804,0.014301676,0.01452514,0.000670391,0.000782123,0,0.012290503,0.01698324,0.007709497,0.000893855,0.000111732,0.001452514,0.044581006,0.060670391,0.049273743,0.002569832,0.002011173,0.000446927,0.048379888,0.05452514,0.050949721,0.000111732,0,0.000111732,0.029050279,0.038212291,0.034413408,0.004916201,0.001564246,0.003687151,0.102569832,0.066256983,0.069273743,0.000335196,0.000558659,0.000111732,0.060893855,0.059329609,0.070949721,0.000111732,0.000335196,0.000223464,0.062458101,0.063240223,0.038547486
ASV_6,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA,0.000446927,0.000223464,0.007821229,0.013407821,0.061787709,0.017318436,0.000446927,0.000446927,0.000670391,0.010614525,0.014413408,0.010055866,0,0.000335196,0.000111732,0.004469274,0.006256983,0.005810056,0.007932961,0.013184358,0.00603352,0.023910615,0.015083799,0.020446927,0.000223464,0.002011173,0.015083799,0.034748603,0.015195531,0.016424581,0.000670391,0.000335196,0.000111732,0.010726257,0.018435754,0.008044693,0.002011173,0.002793296,0.000111732,0.040670391,0.050391061,0.040223464,0.001117318,0.001452514,0.000670391,0.039664804,0.038212291,0.045363128,0.000111732,0,0.000111732,0.026592179,0.031620112,0.028379888,0.001787709,0.000111732,0.001340782,0.08726257,0.053407821,0.056424581,0.00122905,0.000558659,0.000446927,0.050167598,0.057988827,0.064804469,0.000335196,0.000223464,0.000111732,0.050726257,0.04849162,0.037541899
ASV_7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,phenolica,0.000111732,0,0.012513966,0.006703911,0.019106145,0.042905028,0,0.000111732,0.001005587,0.006368715,0.022458101,0.007150838,0.000111732,0,0.000111732,0.005586592,0.00424581,0.00547486,0.025363128,0.030502793,0.005139665,0.016201117,0.033296089,0.029944134,0.000893855,0.00726257,0.002793296,0.02424581,0.048379888,0.035307263,0.000558659,0.001675978,0.000111732,0.031173184,0.039106145,0.044357542,0.001787709,0,0.000558659,0.032402235,0.029385475,0.031284916,0.001117318,0.000111732,0.000223464,0.034972067,0.042234637,0.035418994,0.000111732,0.000111732,0,0.041117318,0.047709497,0.047709497,0.00122905,0.000223464,0,0.028603352,0.022905028,0.028938547,0.000111732,0,0.000223464,0.032290503,0.033631285,0.027821229,0.000111732,0,0,0.03698324,0.038435754,0.032067039
ASV_8,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,0,0,0.003351955,0.001340782,0.053743017,0.003687151,0,0,0,0.001117318,0.00122905,0.000223464,0.000223464,0.000111732,0,0.000558659,0.000223464,0.000446927,0.016759777,0.066592179,0.002346369,0.033296089,0.042122905,0.066592179,0.000670391,0.004357542,0.000111732,0.032513966,0.038100559,0.04424581,0.000893855,0,0.000111732,0.018435754,0.025363128,0.037877095,0.001117318,0,0.000446927,0.024134078,0.020111732,0.019441341,0.000670391,0.000111732,0.000223464,0.015530726,0.017206704,0.017541899,0,0,0,0.010837989,0.012625698,0.009273743,0.000111732,0,0,0.043687151,0.054636872,0.050837989,0.000223464,0.000446927,0,0.042569832,0.033519553,0.034636872,0.000223464,0,0,0.020558659,0.017653631,0.016536313
ASV_9,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,0.000335196,0.003240223,0.004134078,0.000670391,0.000670391,0.001340782,0.003910615,0.002458101,0.001675978,0.004692737,0.002458101,0.005139665,0.01452514,0.013072626,0.012849162,0.01273743,0.012513966,0.011620112,0.003240223,0.000893855,0.002458101,0.000223464,0.00122905,0.000111732,0.002011173,0.003575419,0.003351955,0.001117318,0.000223464,0.000446927,0.00972067,0.010502793,0.011173184,0.005139665,0.002122905,0.004469274,0.001005587,0.001005587,0.000893855,0.000223464,0,0.000111732,0.005139665,0.008938547,0.007150838,0.000111732,0.000223464,0.000335196,0.028938547,0.033743017,0.02972067,0.001452514,0.001564246,0.000782123,0.000670391,0.002122905,0.006256983,0,0.000111732,0.000111732,0.009944134,0.019776536,0.019553073,0.00122905,0.001117318,0.000893855,0.043798883,0.031955307,0.05150838,0.008938547,0.008715084,0.007039106
ASV_10,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,0.000111732,0.002011173,0,0.000670391,0.000223464,0.000111732,0.000335196,0,0,0,0.000223464,0.000111732,0,0,0,0.001005587,0.000111732,0.000111732,0.000446927,0.000111732,0.000558659,0.000111732,0.000446927,0.000111732,0.000335196,0,0,0.000335196,0.000558659,0.000446927,0.000223464,0.000111732,0.000111732,0.000111732,0.000223464,0.000558659,0.000111732,0.00122905,0.000111732,0.001899441,0.001564246,0.001117318,0,0.000446927,0,0.002793296,0.002122905,0.001005587,0,0,0,0.001452514,0.000893855,0.001452514,0.000223464,0.000111732,0,0.083575419,0.085810056,0.065586592,0.000111732,0.000335196,0.000111732,0.064022346,0.063687151,0.06603352,0,0.000111732,0.000111732,0.041787709,0.03575419,0.029832402
